"","export_region","import_region","energy","energy_EJ"
"113","Western Europe (WEU)","South Caucasus States (SCS)","Crude Oil",1.71633224235636e-07
"114","Centrally Planned Asia (CPA)","Africa (AFR)","Crude Oil",1.36974767275977e-06
"115","South Asia (SAS)","Africa (AFR)","Crude Oil",1.60160706810564e-06
"116","South Asia (SAS)","Latin America (LAM)","Crude Oil",1.62997018567e-06
"117","North America (NAM)","Middle East (MEA)","Crude Oil",3.89638327540445e-06
"118","Pacific Asia (PAS)","Latin America (LAM)","Crude Oil",4.19183241669991e-05
"119","Eastern Europe (EEU)","Middle East (MEA)","Crude Oil",4.34300237887228e-05
"120","Middle East (MEA)","South Caucasus States (SCS)","Crude Oil",9.28083933197181e-05
"121","North America (NAM)","Pacific Asia (PAS)","Crude Oil",0.000108421399312069
"122","Belarus, Moldova, Ukraine (UBM)","Central Asian States (CAS)","Crude Oil",0.000166334684789358
"123","Eastern Europe (EEU)","Belarus, Moldova, Ukraine (UBM)","Crude Oil",0.000295442209212766
"124","Central Asian States (CAS)","Belarus, Moldova, Ukraine (UBM)","Crude Oil",0.000307386468400356
"125","Centrally Planned Asia (CPA)","South Asia (SAS)","Crude Oil",0.000914392365452409
"126","Western Europe (WEU)","Pacific OECD (PAO)","Crude Oil",0.00161559403953799
"127","Middle East (MEA)","Belarus, Moldova, Ukraine (UBM)","Crude Oil",0.00180421972568609
"128","Latin America (LAM)","Eastern Europe (EEU)","Crude Oil",0.00190714693391918
"129","Central Asian States (CAS)","South Caucasus States (SCS)","Crude Oil",0.00262365540947838
"130","South Asia (SAS)","Pacific OECD (PAO)","Crude Oil",0.00292622019200171
"131","Western Europe (WEU)","Africa (AFR)","Crude Oil",0.00347135780942977
"132","Latin America (LAM)","Middle East (MEA)","Crude Oil",0.00367557167797962
"133","South Caucasus States (SCS)","Pacific OECD (PAO)","Crude Oil",0.00490626153065614
"134","South Asia (SAS)","Pacific Asia (PAS)","Crude Oil",0.00624099120973383
"135","South Caucasus States (SCS)","Centrally Planned Asia (CPA)","Crude Oil",0.00626874752986621
"136","South Caucasus States (SCS)","Latin America (LAM)","Crude Oil",0.00639468383804665
"137","Pacific Asia (PAS)","Western Europe (WEU)","Crude Oil",0.00656834958339295
"138","South Asia (SAS)","Middle East (MEA)","Crude Oil",0.00732063660742484
"139","Pacific OECD (PAO)","Middle East (MEA)","Crude Oil",0.00785431206142302
"140","North America (NAM)","Eastern Europe (EEU)","Crude Oil",0.00811968758235435
"141","Pacific OECD (PAO)","South Asia (SAS)","Crude Oil",0.0116467262372616
"142","Latin America (LAM)","North America (NAM)","Crude Oil",0.0132835842982426
"143","Western Europe (WEU)","Latin America (LAM)","Crude Oil",0.0163310807491892
"144","North America (NAM)","Latin America (LAM)","Crude Oil",0.0183922360943074
"145","North America (NAM)","South Asia (SAS)","Crude Oil",0.0209813434959537
"146","Centrally Planned Asia (CPA)","Pacific Asia (PAS)","Crude Oil",0.0240616417466629
"147","South Caucasus States (SCS)","Belarus, Moldova, Ukraine (UBM)","Crude Oil",0.0269057737361211
"148","Central Asian States (CAS)","Middle East (MEA)","Crude Oil",0.0292376297047331
"149","Middle East (MEA)","Africa (AFR)","Crude Oil",0.0295885031504259
"150","Africa (AFR)","Eastern Europe (EEU)","Crude Oil",0.0305589228546999
"151","North America (NAM)","Centrally Planned Asia (CPA)","Crude Oil",0.0386199457890635
"152","Eastern Europe (EEU)","Western Europe (WEU)","Crude Oil",0.0402797277436773
"153","Western Europe (WEU)","Pacific Asia (PAS)","Crude Oil",0.0501897001996714
"154","South Caucasus States (SCS)","North America (NAM)","Crude Oil",0.0519845036795054
"155","Pacific OECD (PAO)","Centrally Planned Asia (CPA)","Crude Oil",0.0550952433758626
"156","South Caucasus States (SCS)","Eastern Europe (EEU)","Crude Oil",0.056314283309397
"157","South Caucasus States (SCS)","Pacific Asia (PAS)","Crude Oil",0.0630311781111116
"158","Central Asian States (CAS)","South Asia (SAS)","Crude Oil",0.0645380660031388
"159","Western Europe (WEU)","North America (NAM)","Crude Oil",0.0658988355314426
"160","South Caucasus States (SCS)","South Asia (SAS)","Crude Oil",0.0680296573973115
"161","Centrally Planned Asia (CPA)","Pacific OECD (PAO)","Crude Oil",0.0690710320531893
"162","Western Europe (WEU)","South Asia (SAS)","Crude Oil",0.0698558598464227
"163","Africa (AFR)","North America (NAM)","Crude Oil",0.069855928241845
"164","Central Asian States (CAS)","Pacific Asia (PAS)","Crude Oil",0.0700547650769921
"165","Central Asian States (CAS)","Pacific OECD (PAO)","Crude Oil",0.0731015341827796
"166","Belarus, Moldova, Ukraine (UBM)","Western Europe (WEU)","Crude Oil",0.0745304549203318
"167","Central Asian States (CAS)","Centrally Planned Asia (CPA)","Crude Oil",0.0748903386011022
"168","Latin America (LAM)","Pacific Asia (PAS)","Crude Oil",0.0752997553422257
"169","Pacific Asia (PAS)","Centrally Planned Asia (CPA)","Crude Oil",0.0807433818136551
"170","Africa (AFR)","Middle East (MEA)","Crude Oil",0.0858438447796034
"171","Africa (AFR)","Pacific OECD (PAO)","Crude Oil",0.0902589558783757
"172","Latin America (LAM)","Pacific OECD (PAO)","Crude Oil",0.0969254581145716
"173","Western Europe (WEU)","Eastern Europe (EEU)","Crude Oil",0.102278016551747
"174","South Caucasus States (SCS)","Middle East (MEA)","Crude Oil",0.131766817081791
"175","North America (NAM)","Western Europe (WEU)","Crude Oil",0.191658269546239
"176","Africa (AFR)","Latin America (LAM)","Crude Oil",0.195528118486659
"177","Pacific Asia (PAS)","South Asia (SAS)","Crude Oil",0.206065337478125
"178","Middle East (MEA)","Latin America (LAM)","Crude Oil",0.271337727779931
"179","Western Europe (WEU)","Middle East (MEA)","Crude Oil",0.272799445994269
"180","Central Asian States (CAS)","Eastern Europe (EEU)","Crude Oil",0.343846190282594
"181","Pacific OECD (PAO)","Pacific Asia (PAS)","Crude Oil",0.397795156268071
"182","Western Europe (WEU)","Centrally Planned Asia (CPA)","Crude Oil",0.403147117585708
"183","Middle East (MEA)","Eastern Europe (EEU)","Crude Oil",0.459131535144208
"184","Africa (AFR)","Pacific Asia (PAS)","Crude Oil",0.502715224741811
"185","Pacific Asia (PAS)","Pacific OECD (PAO)","Crude Oil",0.520600840563746
"186","Latin America (LAM)","Western Europe (WEU)","Crude Oil",0.574904380920439
"187","South Caucasus States (SCS)","Western Europe (WEU)","Crude Oil",0.758696792237307
"188","Latin America (LAM)","South Asia (SAS)","Crude Oil",1.02203744082743
"189","Africa (AFR)","South Asia (SAS)","Crude Oil",1.23466428002339
"190","Central Asian States (CAS)","Western Europe (WEU)","Crude Oil",2.3669540968681
"191","Africa (AFR)","Western Europe (WEU)","Crude Oil",2.4270688802449
"192","Africa (AFR)","Centrally Planned Asia (CPA)","Crude Oil",2.49107839159581
"193","Latin America (LAM)","Centrally Planned Asia (CPA)","Crude Oil",2.70848620318224
"194","Middle East (MEA)","Pacific Asia (PAS)","Crude Oil",4.47322198739688
"195","Middle East (MEA)","Pacific OECD (PAO)","Crude Oil",6.33052204991616
"196","Middle East (MEA)","Western Europe (WEU)","Crude Oil",6.55321473701562
"197","Middle East (MEA)","South Asia (SAS)","Crude Oil",6.68895123592969
"198","Middle East (MEA)","Centrally Planned Asia (CPA)","Crude Oil",9.79238053529313
"199","Latin America (LAM)","Central Asian States (CAS)","Fuel Oil",1.215e-08
"200","Belarus, Moldova, Ukraine (UBM)","Pacific OECD (PAO)","Fuel Oil",1.32279384733107e-08
"201","South Caucasus States (SCS)","Pacific OECD (PAO)","Fuel Oil",2.78824125945572e-07
"202","South Asia (SAS)","Central Asian States (CAS)","Fuel Oil",2.00598973079299e-06
"203","South Caucasus States (SCS)","North America (NAM)","Fuel Oil",2.327985e-06
"204","North America (NAM)","Central Asian States (CAS)","Fuel Oil",3.72968094824785e-06
"205","North America (NAM)","South Caucasus States (SCS)","Fuel Oil",4.57966202244048e-06
"206","South Caucasus States (SCS)","Latin America (LAM)","Fuel Oil",5.175045e-06
"207","Pacific OECD (PAO)","South Caucasus States (SCS)","Fuel Oil",5.57458022251043e-06
"208","Pacific Asia (PAS)","Eastern Europe (EEU)","Fuel Oil",5.97037920516223e-06
"209","Central Asian States (CAS)","Pacific OECD (PAO)","Fuel Oil",6.732855e-06
"210","North America (NAM)","Africa (AFR)","Fuel Oil",7.33837065428059e-06
"211","South Caucasus States (SCS)","Africa (AFR)","Fuel Oil",1.171008e-05
"212","Africa (AFR)","Belarus, Moldova, Ukraine (UBM)","Fuel Oil",1.655181e-05
"213","Centrally Planned Asia (CPA)","Belarus, Moldova, Ukraine (UBM)","Fuel Oil",1.84170706494232e-05
"214","South Asia (SAS)","South Caucasus States (SCS)","Fuel Oil",1.86286984738247e-05
"215","North America (NAM)","Belarus, Moldova, Ukraine (UBM)","Fuel Oil",1.8795792312997e-05
"216","Pacific Asia (PAS)","Belarus, Moldova, Ukraine (UBM)","Fuel Oil",2.3737542144129e-05
"217","North America (NAM)","South Asia (SAS)","Fuel Oil",2.85205387990391e-05
"218","Belarus, Moldova, Ukraine (UBM)","Centrally Planned Asia (CPA)","Fuel Oil",4.67537806904072e-05
"219","Pacific Asia (PAS)","South Caucasus States (SCS)","Fuel Oil",5.14377188959449e-05
"220","Africa (AFR)","Eastern Europe (EEU)","Fuel Oil",5.633937e-05
"221","Pacific OECD (PAO)","Eastern Europe (EEU)","Fuel Oil",5.67346240652012e-05
"222","Central Asian States (CAS)","Pacific Asia (PAS)","Fuel Oil",6.10682330942437e-05
"223","Belarus, Moldova, Ukraine (UBM)","Africa (AFR)","Fuel Oil",7.14811562774301e-05
"224","Pacific OECD (PAO)","Central Asian States (CAS)","Fuel Oil",7.67580372376646e-05
"225","South Caucasus States (SCS)","Centrally Planned Asia (CPA)","Fuel Oil",8.08434e-05
"226","South Caucasus States (SCS)","Eastern Europe (EEU)","Fuel Oil",8.252856e-05
"227","Belarus, Moldova, Ukraine (UBM)","Pacific Asia (PAS)","Fuel Oil",9.42907523584404e-05
"228","Pacific Asia (PAS)","Central Asian States (CAS)","Fuel Oil",0.000101655937205203
"229","Middle East (MEA)","Central Asian States (CAS)","Fuel Oil",0.000128671145192388
"230","Pacific OECD (PAO)","Belarus, Moldova, Ukraine (UBM)","Fuel Oil",0.000138004060241367
"231","Latin America (LAM)","Belarus, Moldova, Ukraine (UBM)","Fuel Oil",0.000153278920812393
"232","North America (NAM)","Pacific Asia (PAS)","Fuel Oil",0.000195570940730892
"233","Africa (AFR)","Centrally Planned Asia (CPA)","Fuel Oil",0.00029473713
"234","South Caucasus States (SCS)","Central Asian States (CAS)","Fuel Oil",0.000301013590901463
"235","North America (NAM)","Middle East (MEA)","Fuel Oil",0.000305255799287464
"236","Central Asian States (CAS)","Latin America (LAM)","Fuel Oil",0.00037144939684779
"237","Africa (AFR)","Pacific OECD (PAO)","Fuel Oil",0.00038644137
"238","Latin America (LAM)","South Asia (SAS)","Fuel Oil",0.00039585583582083
"239","Centrally Planned Asia (CPA)","Central Asian States (CAS)","Fuel Oil",0.000418385945372806
"240","Central Asian States (CAS)","Africa (AFR)","Fuel Oil",0.000672625035
"241","Pacific OECD (PAO)","Middle East (MEA)","Fuel Oil",0.000816639310670519
"242","South Asia (SAS)","Eastern Europe (EEU)","Fuel Oil",0.00083021243778334
"243","Africa (AFR)","South Asia (SAS)","Fuel Oil",0.000835043230744817
"244","South Caucasus States (SCS)","Pacific Asia (PAS)","Fuel Oil",0.000922929067075155
"245","Eastern Europe (EEU)","Central Asian States (CAS)","Fuel Oil",0.000938586420488052
"246","Centrally Planned Asia (CPA)","South Caucasus States (SCS)","Fuel Oil",0.00102608271694854
"247","South Caucasus States (SCS)","Belarus, Moldova, Ukraine (UBM)","Fuel Oil",0.00105995416215814
"248","Belarus, Moldova, Ukraine (UBM)","Latin America (LAM)","Fuel Oil",0.00110962955407838
"249","Africa (AFR)","North America (NAM)","Fuel Oil",0.00129265318441534
"250","South Asia (SAS)","Belarus, Moldova, Ukraine (UBM)","Fuel Oil",0.00129468856017444
"251","Pacific OECD (PAO)","Africa (AFR)","Fuel Oil",0.00166324030093356
"252","Belarus, Moldova, Ukraine (UBM)","Middle East (MEA)","Fuel Oil",0.00174570268220861
"253","Central Asian States (CAS)","South Asia (SAS)","Fuel Oil",0.00176433237
"254","Belarus, Moldova, Ukraine (UBM)","Central Asian States (CAS)","Fuel Oil",0.00200079222164767
"255","Belarus, Moldova, Ukraine (UBM)","South Asia (SAS)","Fuel Oil",0.00207222691389307
"256","Western Europe (WEU)","Central Asian States (CAS)","Fuel Oil",0.0023087012166714
"257","Latin America (LAM)","Eastern Europe (EEU)","Fuel Oil",0.0025251405622647
"258","Belarus, Moldova, Ukraine (UBM)","North America (NAM)","Fuel Oil",0.00278411132555602
"259","Middle East (MEA)","Belarus, Moldova, Ukraine (UBM)","Fuel Oil",0.00319073097905476
"260","Central Asian States (CAS)","Eastern Europe (EEU)","Fuel Oil",0.00337205114937096
"261","South Asia (SAS)","North America (NAM)","Fuel Oil",0.00338185980872643
"262","Eastern Europe (EEU)","Pacific OECD (PAO)","Fuel Oil",0.00338536482882731
"263","South Caucasus States (SCS)","Middle East (MEA)","Fuel Oil",0.00364362891149094
"264","Africa (AFR)","Pacific Asia (PAS)","Fuel Oil",0.00386996930871864
"265","Pacific OECD (PAO)","South Asia (SAS)","Fuel Oil",0.0039313181590406
"266","Eastern Europe (EEU)","Centrally Planned Asia (CPA)","Fuel Oil",0.00412434927046967
"267","Belarus, Moldova, Ukraine (UBM)","South Caucasus States (SCS)","Fuel Oil",0.00468166952108959
"268","North America (NAM)","Eastern Europe (EEU)","Fuel Oil",0.00478091709195055
"269","Centrally Planned Asia (CPA)","Eastern Europe (EEU)","Fuel Oil",0.00483476772455076
"270","Pacific Asia (PAS)","North America (NAM)","Fuel Oil",0.00493702331300463
"271","Pacific OECD (PAO)","North America (NAM)","Fuel Oil",0.00510904270759645
"272","South Caucasus States (SCS)","South Asia (SAS)","Fuel Oil",0.00529554071391481
"273","Eastern Europe (EEU)","North America (NAM)","Fuel Oil",0.00555049369932485
"274","Central Asian States (CAS)","Middle East (MEA)","Fuel Oil",0.00674806109059558
"275","Eastern Europe (EEU)","South Asia (SAS)","Fuel Oil",0.00703210398818816
"276","Centrally Planned Asia (CPA)","North America (NAM)","Fuel Oil",0.00703792005160271
"277","Middle East (MEA)","South Caucasus States (SCS)","Fuel Oil",0.00721263733112525
"278","Pacific OECD (PAO)","Western Europe (WEU)","Fuel Oil",0.00739660240893822
"279","Latin America (LAM)","North America (NAM)","Fuel Oil",0.00872916202123863
"280","Middle East (MEA)","North America (NAM)","Fuel Oil",0.00879462435954887
"281","Western Europe (WEU)","South Caucasus States (SCS)","Fuel Oil",0.0102428701601385
"282","South Asia (SAS)","Latin America (LAM)","Fuel Oil",0.0114190222298531
"283","Eastern Europe (EEU)","Latin America (LAM)","Fuel Oil",0.0116540417569485
"284","Central Asian States (CAS)","Belarus, Moldova, Ukraine (UBM)","Fuel Oil",0.0117709199001672
"285","Latin America (LAM)","Pacific OECD (PAO)","Fuel Oil",0.0129102007104489
"286","Central Asian States (CAS)","North America (NAM)","Fuel Oil",0.0153165555
"287","Central Asian States (CAS)","Centrally Planned Asia (CPA)","Fuel Oil",0.0154632550704984
"288","Middle East (MEA)","Eastern Europe (EEU)","Fuel Oil",0.0173948483833067
"289","Latin America (LAM)","Africa (AFR)","Fuel Oil",0.0181372812409516
"290","Africa (AFR)","Middle East (MEA)","Fuel Oil",0.020191130997115
"291","Eastern Europe (EEU)","South Caucasus States (SCS)","Fuel Oil",0.020334266730072
"292","Africa (AFR)","Latin America (LAM)","Fuel Oil",0.023713721775
"293","Eastern Europe (EEU)","Africa (AFR)","Fuel Oil",0.0243269732103239
"294","Western Europe (WEU)","Belarus, Moldova, Ukraine (UBM)","Fuel Oil",0.0247977768281735
"295","North America (NAM)","Pacific OECD (PAO)","Fuel Oil",0.025079136500122
"296","Central Asian States (CAS)","South Caucasus States (SCS)","Fuel Oil",0.0264297970932225
"297","North America (NAM)","Centrally Planned Asia (CPA)","Fuel Oil",0.0271715489753285
"298","Latin America (LAM)","Middle East (MEA)","Fuel Oil",0.0299733735630549
"299","Pacific OECD (PAO)","Latin America (LAM)","Fuel Oil",0.0373410985748348
"300","North America (NAM)","Latin America (LAM)","Fuel Oil",0.0388148517116567
"301","Pacific Asia (PAS)","Latin America (LAM)","Fuel Oil",0.0421656424346262
"302","Pacific Asia (PAS)","Africa (AFR)","Fuel Oil",0.0427274612892893
"303","Eastern Europe (EEU)","Belarus, Moldova, Ukraine (UBM)","Fuel Oil",0.046446126844891
"304","South Caucasus States (SCS)","Western Europe (WEU)","Fuel Oil",0.0465712996105644
"305","Pacific Asia (PAS)","Middle East (MEA)","Fuel Oil",0.0540433546001969
"306","Western Europe (WEU)","South Asia (SAS)","Fuel Oil",0.0562241026618078
"307","Western Europe (WEU)","Pacific OECD (PAO)","Fuel Oil",0.0581742538806011
"308","Africa (AFR)","Western Europe (WEU)","Fuel Oil",0.0608248076286293
"309","North America (NAM)","Western Europe (WEU)","Fuel Oil",0.0780633748035743
"310","Pacific Asia (PAS)","Western Europe (WEU)","Fuel Oil",0.0792088495821241
"311","Centrally Planned Asia (CPA)","Middle East (MEA)","Fuel Oil",0.0800268885414403
"312","Latin America (LAM)","Centrally Planned Asia (CPA)","Fuel Oil",0.0844254565899856
"313","Belarus, Moldova, Ukraine (UBM)","Eastern Europe (EEU)","Fuel Oil",0.0875752504552954
"314","Centrally Planned Asia (CPA)","Africa (AFR)","Fuel Oil",0.0898463183748894
"315","South Asia (SAS)","Pacific OECD (PAO)","Fuel Oil",0.102398441953257
"316","Western Europe (WEU)","Centrally Planned Asia (CPA)","Fuel Oil",0.111714473018772
"317","Pacific OECD (PAO)","Centrally Planned Asia (CPA)","Fuel Oil",0.115858148623131
"318","Eastern Europe (EEU)","Pacific Asia (PAS)","Fuel Oil",0.117679087584808
"319","Eastern Europe (EEU)","Middle East (MEA)","Fuel Oil",0.131119543158825
"320","Central Asian States (CAS)","Western Europe (WEU)","Fuel Oil",0.139039282335708
"321","Middle East (MEA)","Latin America (LAM)","Fuel Oil",0.140729397980793
"322","Centrally Planned Asia (CPA)","Western Europe (WEU)","Fuel Oil",0.141566688061607
"323","Centrally Planned Asia (CPA)","South Asia (SAS)","Fuel Oil",0.142663234148375
"324","South Asia (SAS)","Africa (AFR)","Fuel Oil",0.176479108988077
"325","Latin America (LAM)","Western Europe (WEU)","Fuel Oil",0.188137680366646
"326","Pacific OECD (PAO)","Pacific Asia (PAS)","Fuel Oil",0.196718154039752
